Cosa comporta un eccesso di controlli burocratici rispetto al valore del progetto,Un aumento di trasparenza e riduzione costi,Un rallentamento operativo e un possibile svantaggio competitivo,La chiusura anticipata del progetto,Un bonus per il project manager,B
Perche e utile una root cause analysis quando gli scostamenti si ripetono ciclicamente,Per ridurre il numero di deliverable,Per trovare l origine dei problemi e risolverli in modo definitivo,Per scorporare i contratti in subappalti,Per posticipare la definizione degli stakeholder,B
Come valutare correttamente un potenziale scope creep se gli stakeholder avanzano nuove richieste in fase di esecuzione,Accettare sempre le nuove richieste,Chiudere il progetto senza valutarle,Integrazione nel controllo con un change control formale valutando impatti su tempi e costi,Attivare un nuovo sponsor per ogni modifica,C
Qual e il vantaggio di effettuare controlli incrociati fra i deliverable e i requisiti di scope,Permette di ignorare i costi di gestione,Evita conflitti tra manager funzionali,Assicura che ogni deliverable sia effettivamente collegato a un requisito approvato,Limita la flessibilita del project manager,C
Cosa significa se un analisi Earned Value mostra un SV pari a zero ma un CV negativo,Le attivita sono in linea con i tempi ma i costi risultano piu alti di quanto pianificato,Non esistono differenze su costi e tempi,Si riscontrano ritardi e costi inferiori,Va tutto bene e non serve alcun intervento,A
Perche un frequente aggiornamento del risk register e coerente con le attivita di controllo,Per ridurre i deliverable finali,Per ottimizzare la struttura organizzativa,Per cogliere velocemente i rischi emergenti e gestirli prima che incidano sulle performance,Per allungare la durata del progetto,C
Che ruolo gioca la definizione di metriche misurabili nella prevenzione di scostamenti eccessivi,Inutile perche i costi sono sempre imprevedibili,La misurazione accurata permette di identificare derive prestazionali e intervenire,Obbliga il team a rinunciare alla WBS,Agevola soltanto il fornitore esterno,B
Se i deliverable rispettano i tempi ma superano regolarmente i costi previsti di un 15 percento come si inquadra la situazione,Va bene cosi perche almeno la schedulazione e in linea,Indica un problema di budget e una necessita di ottimizzare le risorse o ridurre altre spese,Conferma un guadagno,Si ignora l argomento,B
In che modo il controllo integrato di costi tempi e qualita evita approcci frammentari,Elimina la necessita di definire stakeholder,Permette di avere una visione olistica e valutare gli impatti trasversali,Impone contratti a tempo indeterminato,Limita la flessibilita del project manager,B
Perche e rischioso ignorare piccoli difetti di qualita riscontrati dai test interni,Non comporta alcun rischio,Potrebbero crescere e causare ritardi e costi aggiuntivi piu tardi,Genera un vantaggio economico,Consente di chiudere il progetto in anticipo,B
Come va gestita la documentazione di controllo se emergono reclami da parte di stakeholder secondari,Si ignora la documentazione,Si archivia in segreto,Si aggiornano i report di scostamento e si avviano eventuali azioni correttive,Si cambia sponsor per ridurre i conflitti,C
Cosa suggerisce un cost performance index che oscilla frequentemente tra valori superiori e inferiori a 1,Che si alternano fasi di spesa sotto controllo e fasi di sforamento,Che il trend e stabile,Che i rischi sono scomparsi,Che la baseline e stata bloccata,A
In quale modo il controllo della schedule baseline si integra con la definizione delle holiday resource calendar,Non si integra affatto,Permette di calcolare correttamente la disponibilita del team e prevenire ritardi,Obbliga a ridurre il scope,Richiede un passaggio alla qualita,B
Perche e importante definire canali di escalation chiari durante il controllo,Per semplificare i costi variabili,Per gestire eventuali scostamenti critici in modo rapido e responsabile,Per eliminare il project manager,Per duplicare i deliverable,B
Come agire se i dati di controllo mostrano un incremento anomalo di difformita nel processo di procurement,Aprire un risk acceptance e ignorare la situazione,Imporre penali al fornitore senza analisi,Verificare contratti e processi di acquisizione e definire azioni correttive,Chiedere piu sponsor nel team,C
Quando conviene avviare un reforecast dettagliato dei costi all interno del controllo,Quando l EAC e minore del BAC,Quando la baseline e stata definita in modo eccessivo,Quando gli scostamenti raggiungono o superano una soglia predefinita,Quando il budget e in eccesso rispetto ai deliverable,C
Qual e il valore aggiunto di un quality audit interno frequente all interno del processo di controllo,Serve solo a complicare il Gantt,Permette di verificare la corretta aderenza alle procedure e individuare aree di miglioramento,Evita la definizione del budget,Genera confusione tra i manager funzionali,B
Che tipo di rischio si corre se si ignorano i dati di controllo su costi e tempi a causa di priorita conflittuali,Si ottiene una riduzione del budget,Si consolida una scarsa visibilita sugli andamenti reali col rischio di fallire gli obiettivi,Si entra automaticamente in closure,Si guadagna un nuovo sponsor,B
Perche e utile confrontare i deliverable finali con i KPI stabiliti in fase di pianificazione,Perche cosi si evita la stima dell EAC,Per ridurre i meeting di controllo,Per valutare concretamente se gli output raggiungono gli standard attesi,Per ridurre la dimensione del team,C
Qual e la finalita di uno schedule compression plan qualora il controllo mostri ritardi critici,Eliminare sempre la documentazione,Prolungare ulteriormente le attivita,Applicare tecniche come crashing o fast tracking per rientrare nei tempi programmati,Ottenere un budget inferiore,C
Come usare i dati di controllo per migliorare la motivazione del team,Non e possibile,Si minacciano penali interne,Si nascondono i report di scostamento,Si condividono i risultati e si mostrano i trend positivi di performance,D
Cosa implica un alto numero di change request approvati in rapida successione dal controllo,Nulla se il costo e basso,La necessita di rivedere la baseline in modo frequente e attuare un monitoraggio piu stretto,La conclusione immediata del progetto,La restrizione dell accesso al risk register,B
Che effetto produce un controllo in cui si trascura l analisi qualitativa delle segnalazioni dei test utente,Si ottiene un baseline invariata,Si rischia di non comprendere i problemi reali di user experience,Si accelera la chiusura,Si riduce il margine di correzione,B
Perche la definizione di tolleranze su costi e tempi e cruciale per un efficace processo di controllo,Per ignorare i piccoli scostamenti,Per concedere massima flessibilita al team,Per sapere quando uno scostamento diventa significativo e richiede intervento,Per ridurre i rischi contrattuali,C
In che modo un software di project management aiuta il PM nel controllo,Non aiuta,Obbliga a definire piu milestone,Permette di aggiornare i dati in tempo reale e generare report di scostamento,Genera un conflitto con gli stakeholder,C
Qual e la ragione principale per cui e necessario collegare le azioni correttive ai relativi scostamenti documentati,Diminuire le responsabilita del project manager,Diminuire il numero di deliverable finali,Verificare l efficacia degli interventi e garantire la tracciabilita,Concludere il progetto con anticipo,C
Cosa fare se un fornitore esterno non rispetta le specifiche di qualita rilevate dal controllo interno,Si chiude il progetto ignorando la difformita,Si nasconde il report al committente,Si avvia un escalation contrattuale e si valutano penali o rinegoziazioni,Si elimina la baseline di qualita,C
Perche e rischioso affidarsi soltanto a indicatori finanziari nel controllo,Perche i costi sono sempre flessibili,Perche i parametri di qualita e soddisfazione utente potrebbero essere trascurati,Per semplificare la definizione del success fee,Per obbligare il fornitore a ridurre i costi,B
Come capire se uno scostamento sui tempi e recuperabile senza intaccare la qualita,Si effettua un analisi del critical path e si valuta la fattibilita di compressione,Si ignora la dimensione qualitativa,Si riduce il budget dedicato all esecuzione,Si elimina la WBS e si gestisce liberamente,A
In caso di performance peggiori rispetto ai parametri di controllo, come si procede se non si vogliono alterare costi e tempi,Si adotta la chiusura anticipata del progetto,Si sacrifica la qualita in silenzio,Si discute se ridurre parte dello scope in accordo con gli stakeholder,Si posticipa il controllo a dopo la fase di esecuzione,C
Cosa succede se i dati di controllo non vengono condivisi adeguatamente con il team,Si previene il sabotaggio esterno,Si promuove un maggiore engagement,Si rischia che il team non adotti misure correttive e i problemi peggiorino,Si elimina la baseline di costi,C
Perche e importante eseguire un controllo incrociato tra le metriche di scheduling e i risultati di performance effettiva,Per capire se le attivita completate sono in linea con la qualita,Per ridurre i costi di esecuzione,Per impostare il project charter in avvio,Per potenziare i contratti B
Come si gestisce un caso in cui l actual cost e costantemente inferiore al planned cost ma la durata delle attivita e maggiore,Si definisce un successo automatico,Si intensificano gli acquisti per sfruttare il margine,Si approfondisce la situazione per evitare di impattare la qualita,Si ignora l argomento,C
Che tipo di azione e richiesto quando un key stakeholder segnala problemi di soddisfazione utenti mai rilevati dai dati di controllo,Azioni di prevenzione dei rischi futuri,Azioni correttive su costi e tempi,Approfondimento e possibili misure di miglioramento su parametri di usabilita,Chiusura immediata del progetto,C
Qual e il vantaggio di implementare un escalation path chiaro e gerarchico nelle attivita di controllo,Impedisce al PM di prendere decisioni,Evita che scostamenti gravi rimangano non affrontati a livello adeguato,Blocca le ispezioni di qualita,Consente di ignorare lo sponsor,B
Come si definisce un capacity planning integrato durante il controllo,Un documento superfluo,Un metodo per calcolare i costi fissi,Uno strumento per regolare il carico di lavoro e assicurare disponibilita delle risorse,Un modo per eliminare milestone,C
Che relazione c e tra cost baseline e misurazione Earned Value nel processo di controllo,Non c e alcun legame,La cost baseline serve come riferimento per calcolare le metriche EVM e confrontare i risultati reali,La EVM serve solo ai manager funzionali,La baseline va ignorata se i costi superano il 50 per cento,B
In quale modo la mancanza di un piano di gestione della configurazione incide sul controllo,Potrebbe generare confusione su quale versione di deliverable valutare,Si riducono i costi di licensing,Impedisce la definizione di KPI di qualita,Accelera la chiusura del progetto,A
Quando conviene aggiornare ufficialmente la baseline di un progetto,Quando lo sforamento di costi e tempi e minore del 2 per cento,Quando le variazioni sono marginali e non impattano i deliverable,Quando le differenze di scope cost o schedule superano la soglia di tolleranza stabilita,Quando l audit interno lo decide,C
Che effetto ha il controllo regolare sui possibili conflitti tra membri del team su priorita e scadenze,Li ignora completamente,Li rende piu frequenti,Offre dati oggettivi per negoziare e risolvere i conflitti,Elimina la necessita di escalation,C
Come comportarsi se dai dati di controllo emerge un miglioramento graduale di cost e schedule a scapito della qualita finale,Si prosegue tranquillamente,Si evidenzia il trade off e si valutano azioni bilanciate per riallineare la qualita,Si tagliano le risorse,Si assume un nuovo sponsor,B
Qual e lo scopo principale di un inspection test periodico,Assegnare colpe ai fornitori,Verificare conformita e funzionalita dei deliverable durante la realizzazione,Diminuire i costi di overhead,Espandere lo scope del progetto,B
Cosa significa se durante il controllo emergono nuovi rischi piu gravi di quelli inizialmente elencati,Che non si deve piu fare risk management,Che la baseline non e valida,Che la risk response deve essere aggiornata e i piani di emergenza rivisti,Che i costi si azzerano automaticamente,C
Perche e rischioso limitare i controlli unicamente alle prime fasi di esecuzione,Perche genera troppi meeting,Perche eventuali scostamenti successivi possono passare inosservati,Perche cosi il progetto risulta di qualita piu alta,Perche si riducono i deliverable B
Quale aspetto e critico nel controllo dei contratti se i fornitori esterni gestiscono parti rilevanti del project scope,Verificare costantemente la conformita contrattuale e la qualita delle consegne,Ignorare la schedule,Diminuire gli audit,Concedere bonus immediati,A
Che succede se le metriche indicano un notevole sforamento di tempi ma i deliverable inviati sono di altissima qualita,Si ignora la dimensione tempo,Si loda il team per la performance qualitativa e si valuta un piano di recupero per i ritardi,Si riduce lo scope a meta progetto,Si chiede un progetto parallelo,B
Come trattare un contractor che consegna in anticipo ma con standard qualitativi inferiori rispetto a quelli concordati,Accettare incondizionatamente perche in anticipo,Applicare il controllo di conformita e valutare un rework contrattuale o penali,Chiudere immediatamente il progetto,Ignorare il difetto,B
In che modo un cost baseline ben definito semplifica il rilevamento di scostamenti finanziari,Offre un confronto chiaro tra costi effettivi e pianificati,Elimina la necessita di definire la schedule,Esclude la dimensione qualitativa,Previene la mitigazione dei rischi,A
Cosa implica una mancanza di azioni correttive nonostante scostamenti ricorrenti su tempi e costi,Che il progetto e in salute ottimale,Che non si considera prioritario mantenere gli obiettivi,Che tutti i deliverable sono stati completati,Che esiste un eccesso di stakeholder B
Come utilizzare i grafici di performance nel processo di controllo,Servono solo come abbellimento del report,Servono per definire i contratti con i subfornitori,Servono a monitorare con immediatezza l andamento e giustificare eventuali interventi,Servono per annullare la baseline,C
Che cosa rivela una continue improvement approach integrata nel controllo,Che i costi aumentano,Che l organizzazione adotta un ciclo iterativo di feedback e correzioni puntuali a scostamenti o inefficienze,Che la schedule e fissa,Che non sono possibili meeting con gli stakeholder,B
Qual e l effetto di un mancato controllo sulle performance di un deliverable ritenuto marginale,Non esiste alcun rischio,Si potrebbe scoprire tardi che un difetto minore impatta altre componenti critiche,Si ottiene un guadagno di tempo,Si migliora la WBS,B
Perche e essenziale includere la stakeholder satisfaction nelle metriche di controllo,Per delegare le decisioni contrattuali,Per ridurre la dimensione del scope,Per evitare che un progetto considerato buono internamente risulti inaccettabile per chi ne fruisce,Per dimezzare i costi generali,C
Durante l esecuzione quali strategie implementare se il fornitore non garantisce la qualita prevista da contratto,Introdurre penali immediate,Accettare i difetti a condizione di un bonus finale,Avviare un audit straordinario condiviso,Eliminare i test intermedi,C
Come si gestisce un conflitto tra membri del team con competenze critiche durante l esecuzione,Ignorarlo per evitare tensioni,Attivare una mediazione ufficiale e riassegnare i compiti,Ridurre le milestone per accelerare la consegna,Bloccare il budget finche il conflitto non si risolve,B
Quale azione intraprendere se in esecuzione emergono requisiti aggiuntivi mai discussi con gli stakeholder,Rifiutarli senza analisi,Aprire un change request formale con valutazione di impatto,Inserirli all istante nel piano dei costi,Trasferire i nuovi requisiti alla fase di chiusura,B
Durante l esecuzione come si garantisce la tracciabilita dei deliverable finali rispetto alla WBS,Riducendo il team a un solo fornitore,Tramite una matrice di corrispondenza e report periodici,Assegnando tutte le attivita a risorse senior,Non esistono metodi efficaci,B
Se il team lamenta carichi eccessivi in fase di esecuzione quale soluzione attuare,Rimandare la critica alla fase di controllo,Distribuire meglio le risorse e rivedere la pianificazione,Punire le risorse meno produttive,Azzerare lo scope per ridurre il lavoro,B
Come agire se il committente vuole modificare la tecnologia scelta in piena esecuzione,Accettare la richiesta senza valutarne i costi,Inoltrare una proposta di change formale e verificarne l impatto su tempi e budget,Negare la tecnologia sostitutiva per principio,Abbandonare la WBS originale,B
Quale effetto si ottiene se le comunicazioni durante l esecuzione sono sporadiche e non documentate,Riduzione di conflitti sulle milestone,Maggiore probabilita di errori e incomprensioni nelle attivita operative,Consegna dei deliverable prima del previsto,Miglioramento automatico della qualita,B
Come intervenire se in fase di esecuzione i costi reali sono inferiori alle previsioni ma la qualita risulta compromessa,Festeggiare la riduzione di spesa,Verificare l origine del risparmio e controllare possibili tagli non autorizzati,Ignorare l effetto sulla qualita,Chiedere un estensione dello scope,B
Qual e il rischio di non coinvolgere i manager funzionali nella gestione delle risorse durante l esecuzione,Rischio di troppa supervisione esterna,Possibili assegnazioni non coordinate e sovrapposizioni di compiti,Riduzione dei costi di supervisione,Azzeramento delle responsabilita del PM,B
Perche e fondamentale tenere un registro delle decisioni prese nel corso dell esecuzione,Per ridurre la tracciabilita,Per segnalare errori al PMO a fine progetto,Per consentire la revisione e la responsabilita delle scelte evitando confusione,Per non dover gestire le milestone,C
Come si affronta una carenza di competenze specialistiche non prevista nel piano di esecuzione,Si ignora la lacuna e si prosegue,Si assumono consulenti esterni o si organizza una formazione rapida,Si rimanda il problema alla chiusura,Si duplicano le attivita su risorse interne,B
Durante l esecuzione se il cliente invia continue revisioni di design come gestire la situazione,Accettare ogni revisione senza controllo,Richiedere approvazione di un change formalizzato per valutarne costi e tempi,Trattenere l informazione fino alla fine,Organizzare un workshop extra e chiudere la WBS,B
Come preservare la coerenza del progetto se emergono conflitti tra i task della WBS e le disponibilita reali del team,Abbandonare i task meno critici,Assumere altre risorse senza informare lo sponsor,Allineare la schedulazione con un piano di riassegnazione e informare gli stakeholder,Ridurre la qualita dei deliverable,C
Quale tecnica e piu utile per monitorare il lavoro effettivo svolto da ogni risorsa in un progetto complesso,Effettuare un Gantt parziale senza consuntivi,Usare un timesheet tracciato e strumenti di reporting sistematico,Rinunciare al controllo e attendere la chiusura,Organizzare meeting giornalieri non documentati,B
Perche la gestione dei fornitori in esecuzione richiede controlli periodici su SLA e deliverable,Riduce la trasparenza sui subappalti,Serve solo per progetti a costo fisso,Previene ritardi e difetti dei fornitori e permette correzioni tempestive,Azzera i contratti in corso,C
Come reagire se il team ignora le procedure di qualita definite nel piano di esecuzione,Concedere piena liberta di azione,Applicare un escalation e riaffermare l importanza dei processi di controllo qualita,Rimandare la qualita alla fase di chiusura,Eseguire un rebase totale della WBS,B
Quale aspetto considerare prioritario se l ambiente di esecuzione cambia radicalmente le condizioni operative,Bloccare immediatamente il progetto,Attendere la fase di controllo,Valutare rischi e riadattare il piano di esecuzione o di approvvigionamento,Diminuire il numero di deliverable,C
Come garantire la corretta integrazione fra sottoprogetti diversi durante l esecuzione,Lasciare i sottoprogetti completamente indipendenti,Nomina di piu project manager in parallelo senza coordinamento,Creare momenti di verifica incrociata e definire interfacce condivise tra i sottoteam,Chiedere al cliente di seguire i dettagli,C
Se durante l esecuzione il team tecnico si accorge di potenziali miglioramenti non pianificati come procedere,Implementare liberamente ogni cambiamento,Ignorare i suggerimenti,Aprire un change request e valutarne i benefici,Respingere le idee per non turbare il piano,C
Perche definire regolari report di avanzamento e fondamentale in esecuzione,Per interrompere le riunioni di allineamento,Per delegare ogni decisione al PMO,Per dare visibilita agli stakeholder su progressi e ostacoli e prevenire sorprese,Per evitare confronti con le milestone passate,C
Come agire se durante l esecuzione alcuni deliverable iniziali risultano non conformi ai requisiti,Forzare l acceptance dei deliverable,Ignorare la non conformita,Avviare una attivita di rework e documentare la deviazione nei registri di progetto,Chiedere di ridurre gli obiettivi del cliente,C
Qual e il rischio di non motivare adeguatamente il team in esecuzione,Non si corrono rischi sostanziali,Riduce i costi ma aumenta la confusione,Può generare calo di prestazioni e ritardi nella realizzazione dei deliverable,Azzera la necessita di delega e feedback,C
Come si esegue un piano di comunicazione efficace con stakeholder distribuiti geograficamente,Si prevede un contatto finale in chiusura,Si usa solo posta cartacea,Si stabiliscono meeting virtuali periodici e canali condivisi per scambio documenti,Si riduce la trasparenza sugli scostamenti,C
Perche e importante tracciare gli eventuali impedimenti in un issue log durante l esecuzione,Per ridurre la qualita finale,Per rendere piu complessa l archiviazione,Per gestire e risolvere rapidamente i blocchi che ostacolano le attivita operative,Per sanzionare il team con ritardi,B
Come salvaguardare la qualita dei deliverable se emergono vincoli di budget imprevisti,Tagliare metodi di test e ispezione,Bloccare il progetto senza avvisi,Concordare con lo sponsor priorita e definire piani di ottimizzazione,Accettare il rischio di difetti finali,C
Cosa accade se in fase di esecuzione si riscontrano differenze tra i dati previsti e i dati effettivi di performance,Non si segnala nulla,Si estende la durata del progetto automaticamente,Si registrano gli scostamenti e si valutano possibili azioni correttive,Si abbandona il deliverable critico,C
Come si gestisce la necessita di competenze interne non disponibili se la deadline e vicina,Ridurre la WBS senza consultare il cliente,Attivare un recruitment immediato e posticipare ogni milestone,Analizzare opzioni di outsourcing o redistribuire i carichi,Comunicare il problema in chiusura,C
Perche un team coeso in esecuzione facilita il rispetto dei tempi e la qualita dei deliverable,Per garantire conflitti quotidiani,Per ridurre i costi delle risorse,Per evitare rallentamenti dovuti a incomprensioni e scarsa collaborazione,Per poter ignorare le procedure di test,C
Quale tecnica si rivela utile per gestire piu fornitori in parallelo durante l esecuzione,Adottare contratti indefiniti,Un risk register parziale,Riunioni di coordinamento con frequenza definita e deliverable di integrazione,Azzerare la documentazione di ogni fornitore,C
Come affrontare un escalation dalla direzione che richiede risultati piu rapidi senza incrementare il budget,Rifiutare la richiesta senza analisi,Proporsi di ridurre la qualita e scendere a compromessi con il cliente,Valutare compressioni di schedule con possibili rischi e condividere l impatto,Tagliare le milestone finali,C
Cosa implica se i test intermedi evidenziano errori sistematici nella configurazione dei deliverable,Si accetta la difformita,Si addebita la colpa al cliente,Si avvia un piano di correzione e si indaga la causa per rimuovere l errore a monte,Si riducono i tempi di test per recuperare,A
Perche il project manager deve mantenere un registro aggiornato dei rischi anche in esecuzione,Per limitarsi alla documentazione iniziale,Per gestire un solo scenario di emergenza,Per integrare in continuo i rischi effettivi che emergono e attuare le contromisure necessarie,Per ignorare le cause di scostamento,C
Come affrontare la mancanza di approvvigionamenti critici che blocca alcune attivita di esecuzione,Si rimanda la valutazione alla fase di controllo,Si abbandona il deliverable correlato,Si avvia un escalation e si cercano fornitori alternativi se consentito,Si ignora il problema finche il cliente se ne accorge,C
Cosa succede se il project manager non gestisce la suddivisione delle responsabilita durante l esecuzione,Si ottiene una sinergia massima,Si rischiano sovrapposizioni o vuoti operativi che rallentano i lavori,Si riducono i costi contrattuali,Si avvia il processo di chiusura in anticipo,B
Come si procede se i risultati delle prime fasi di esecuzione non soddisfano la baseline di qualita prevista,Si annulla il test di qualita,Si registrano i gap e si interviene tempestivamente con azioni correttive,Si aspetta la fine del progetto,Si pubblicizza la scarsa qualita del deliverable,B
Durante l esecuzione quale effetto ha un intervento non pianificato del top management sul piano delle risorse,Genera un bonus automatico,Potrebbe modificare priorita e impegno del team imponendo un ricalcolo dei tempi,Aziona la chiusura di emergenza,Elimina la WBS definita,B
Come assicurare la regolarita delle forniture se la catena logistica e soggetta a variazioni impreviste,Rivedere la baseline e chiudere il progetto,Ridurre la quantita di materiali necessari,Implementare piani di emergenza e contratti secondari se opportuno,Ignorare le variazioni e sperare nella consegna,C
Cosa fare se i test dimostrano che la soluzione sviluppata risponde a requisiti obsoleti,Non si prende alcuna misura,Implementare la soluzione e consegnarla,Aprire una discussione con lo sponsor e valutare un adeguamento dei requisiti,Chiedere penali al fornitore,C
Perche e fondamentale rivedere regolarmente l avanzamento delle attivita critiche all interno del percorso di esecuzione,Per ridurre la qualita dei deliverable,Per minimizzare i report di gestione,Per individuare eventuali slittamenti e intervenire prima che impattino le milestone finali,Per generare confusione con i subfornitori,C
Come si gestisce la formazione del team se in corso d opera emergono lacune importanti su nuove tecnologie,Si ignora la necessita di formazione,Si svolge un training intensivo o si introducono consulenti esterni,Si posticipa la formazione alla fase di chiusura,Si riducono i deliverable per semplificare,B
In che modo la revisione del piano di comunicazione puo salvare il progetto da un fallimento in esecuzione,Cancellando l esecuzione,Introducendo meno meeting,Stabilendo aggiornamenti piu frequenti e canali trasparenti di feedback,Trasferendo la responsabilita al PMO,C
Se il team non comprende correttamente i vincoli di sicurezza come intervenire in esecuzione,Si ignora la sicurezza e si accelera,Si trasferisce la supervisione a un esterno,Si organizza una sessione di allineamento e si intensificano i controlli nei processi di lavoro,Si riducono i test di qualita,C
Quale aspetto e cruciale per coordinare piu subteam che lavorano a deliverable interdipendenti,Trattenere tutte le informazioni per evitare conflitti,Rispettare la segretezza a scapito della coesione,Organizzare momenti di integrazione e definire uno schema comune di versioning,Rispettare l esecuzione senza meeting incrociati,C
Come fronteggiare un eccesso di micro modifiche durante l esecuzione richieste dal team stesso,Concedere liberta completa a ogni membro,Segnalare i cambi come change e valutarne l impatto cumulativo,Includere tutto nelle milestone senza controllo,Richiedere una riduzione del budget,B
Durante l esecuzione il cliente chiede report giornalieri molto dettagliati come reagire,Accettare senza valutarne l impatto sul carico di lavoro,Negare qualsiasi extra,Concordare un formato sostenibile di update e un livello di dettaglio appropriato,Rinunciare alla comunicazione formale,C
Che succede se la supervisione e affidata a troppi referenti all interno del team,Riduce la complessita esecutiva,Aumenta la confusione su chi decide e puo generare sovrapposizioni di ruoli,Favorisce la definizione di un solo sponsor,Elimina la necessita di definire priorita,B
Cosa implica l attivita di team building durante la fase di esecuzione,Costringe il team a frequentare corsi extra,Indebolisce l allineamento sui deliverable,Potenzia la collaborazione e la risoluzione di problemi consentendo di rispettare tempi e obiettivi,Azzera la necessita di un risk register,C
Come si gestisce lo scope se in esecuzione si ritiene di dover aggiungere funzionalita ritenute prioritarie dal fornitore,Si approvano a prescindere,Senza un change formalizzato non si procede alle modifiche,Si riduce la qualita altrove per compensare,Si blocca il fornitore fino al termine,B
Perche la documentazione di esecuzione dev essere allineata con i requisiti contrattuali,Per ridurre la trasparenza con il cliente,Per ridurre i tempi di test finali,Per evitare consegne che non rispettano clausole vincolanti,Per aumentare i costi di collaudo,C
In che modo l assegnazione di compiti chiaramente definiti accelera la fase di esecuzione,Evitando conflitti e duplicazioni di responsabilita,Riducendo la varieta di skill nel team,Impedendo il problem solving collettivo,Allungando i tempi di consegna,A
Come si risponde a un eccessivo turnover di personale in piena esecuzione,Ignorando le uscite dal team,Facendo assumere nuovi membri senza formazione,Sviluppando un piano di knowledge transfer e affiancamento per sostituire chi lascia,Imponendo penali al manager funzionale,C
Se l ambiente tecnico produce bug ricorrenti come integrarli nel piano di esecuzione,Ignorare i bug se i costi restano bassi,Rimuovere la fase di test,Aprire un bug tracking e pianificare sforzi di correzione,Chiedere di anticipare la chiusura contrattuale,C
Che fare se i tester segnalano problemi di performance in alcune funzionalita critiche,Richiedere al cliente di abbassare le aspettative,Ignorare la segnalazione e attendere la fine,Intervenire con ottimizzazioni e inserire test approfonditi,Bloccare l intero team in attesa del PMO,C
Durante l esecuzione come si gestisce un aggiornamento imprevisto delle tecnologie di base,Lo si implementa senza valutazione di impatto,Si ignora la nuova tecnologia,Si avvia un analisi costi benefici e si valuta con lo sponsor,Si cambia fornitore all istante,C
Perche e necessario continuare a monitorare il risk register anche dopo aver iniziato le attivita operative,Per spostare i rischi a un altra area,Perche i rischi possono evolversi e nuovi rischi possono emergere durante l esecuzione,Per ridurre la definizione dei deliverable,Per abbandonare la pianificazione iniziale,B
Se il budget per alcune risorse e stato bloccato dalla direzione in piena esecuzione come agire,Proseguire come se nulla fosse,Informare il committente e valutare aggiustamenti su tempi e scope,Sanzionare il team con straordinari ridotti,Concludere il progetto anticipatamente,B
Qual e la strategia migliore per mantenere la qualita se i tempi di consegna vengono dimezzati,Ridurre i test finali per consegnare prima,Impiegare un maggior numero di risorse qualificate o adottare un approccio parallelo,Chiedere un subappalto,Ignorare le milestone iniziali,B
Come ci si comporta se emergono conflitti tra deliverable di sottosistemi diversi che devono integrarsi,Rimuovere l integrazione,Delegare il conflitto al fornitore secondario,Organizzare un tavolo di allineamento tecnico e definire un piano di integrazione condiviso,Trascurare i sottosistemi minori,C
Se in esecuzione si notano tempi e costi in linea ma la customer satisfaction e bassa che fare,Ritenere un successo perche i parametri oggettivi sono ok,Andare in chiusura immediata,Indagare le cause del malcontento e intervenire con azioni correttive lato requisiti e comunicazione,Chiedere di cambiare sponsor,C
Perche definire sessioni di review intermedie con gli stakeholder facilita la realizzazione dei deliverable,Per rimandare la supervisione al top management,Per scoprire tempestivamente difetti e gestire feedback riducendo rischi di rework finale,Per duplicare i costi di test,Per evitare un project manager dedicato,B
Come procedere se i risultati delle prime attivita test evidenziano un numero di bug superiore al previsto,Ignorare i bug finche non si concludono tutti i test,Aprire un rework cycle e pianificare risorse per fix e retest documentando l aumento di effort,Concedere sconti al cliente per i difetti,Ridurre l ambito contrattuale,B
In che modo la definizione di un leader tecnico interno supporta l esecuzione,Blocca l iniziativa di gruppo,Migliora la gestione dei conflitti tecnici e accelera le decisioni operative,Aumenta la burocrazia per i fornitori,Riduce la responsabilita del PM,B
Se un fornitore chiede cambi frequenti in corso d opera ai propri deliverable come rispondere,Accettare tutte le modifiche senza analizzarle,Segnalare in un registro di changes e valutarne impatto su tempi costi e interdipendenze,Imporre una penale a ogni cambiamento,Delegare ogni aspetto al team finale,B
Perche mantenere viva la comunicazione col cliente su eventuali scostamenti operativi e critico in esecuzione,Per svelare i difetti solo in chiusura,Per ridurre la trasparenza,Perche il cliente non e un attore rilevante,Per evitare incomprensioni e ottenere il suo supporto tempestivo,D
Durante l esecuzione cosa accade se si trascurano le metriche di performance intermedie,Si riduce la confusione di dati,Si evitano i conflitti interni,Possono accumularsi problemi non rilevati fino a compromettere i deliverable finali,Si forza la chiusura anticipata,C
Come si procede se l environment di sviluppo risulta poco stabile generando ritardi in alcune attivita,Rinunciare alle procedure di escalation,Informare l alta direzione e valutare investimenti per stabilizzare l environment,Modificare l intero scope senza avvisare il cliente,Sostituire il project manager,B
Che ruolo ha la definizione chiara di acceptance criteria nel semplificare le verifiche in esecuzione,Non ha alcun impatto,Aziona la fase di chiusura in anticipo,Rende piu facile validare i deliverable e riduce incomprensioni con il cliente,Limita la documentazione finale,C
Se la disponibilita di alcune risorse chiave cambia improvvisamente come intervenire,Ignorare la riduzione di ore lavorabili,Programmare un piano di riassegnazione e negoziare le priorita con i manager funzionali,Attendere che le risorse ritornino,Eliminare i deliverable collegati,B
Perche e utile svolgere checkpoint regolari su attivita che non sembrano critiche all inizio,Per minimizzare la definizione di costi,Per scoprire in ritardo eventuali errori nascosti,Perche anche task apparentemente semplici possono generare problemi se non monitorati,Per ridurre la coesione del team,C
